натянутый:  натянутую натянутая
часовой:  часовой
полезный:  полезен
производный:  производные производная производной производную
предел:  предел пределами пределы пределов пределах
положительный:  положительного положительное положительным положительном
числовой:  числовые
путаться:  путаемся
производныенеявно:  производныенеявно
длинный:  длиннее
значение:  значение значения
скорее:  скорее
общий:  общему общим общая
игрек:  игрек игрека игреком
движение:  движение движения
формула:  формулы формулой формуле формула формулу
смотреть:  см смотрим смотреть
река:  река
отрицательный:  отрицательный
прийтись:  придётся
канонический:  каноническому канонические
два:  две двумя двух
отрезок:  отрезку отрезка отрезки
параметр:  параметра
дифференциал:  дифференциалах дифференциал дифференциалы дифференциалами дифференциала
больший:  наибольшее
стрелка:  стрелки стрелке
выразить:  выразим выразить
против:  против
любой:  любому любое любой
ладь:  ладей
банк:  банка
сам:  самого самом само
число:  число числе числами числа
вогнутостья:  вогнутостьи
становиться:  становится
позволять:  позволяет позволяющими позволяй
случай:  случай случае случаях
плохой:  хуже
профессия:  профессию
условие:  условии условию
пусть:  пусть
умножение:  умножения
выполнимый:  выполним
система:  система системе систему системы
группировка:  группировок группировка
условнаясходимость:  условнаясходимость
окружность:  окружность окружности
угол:  угол
александр:  александр
критичный:  критичны
остаться:  осталось
скорость:  скоростей скорость скорости
линейный:  линейные линейная линейных линейной
правый:  правой
согласие:  согласия
решать:  решаем решать решали
дуоперационный:  дуоперационным
базис:  базисах базису базис
зависимостьвектор:  зависимостьвекторов
распространить:  распространённый
снова:  снова
оно:  оно
метод:  методы методом метод
тема:  теме
страница:  страницу
поле:  полям поля полей полем поле
математический:  математическая математические математической
данные:  данных
ось:  оси
свестись:  сведётся
интеграл:  интеграл интегралу интегралов интегралах интегралы интеграла интегралом интеграле
урок:  урока урок уроке
разложение:  разложением разложение
частный:  частную частное частные частный
прозрачный:  прозрачно
икс:  икс иксом
уравнение:  уравнению уравнения уравнение уравнениям уравнениями уравнений
переход:  переход перехода
поздравлять:  поздравляю
получиться:  получилось получится
недочёт:  недочёты
практический:  практических практическим
малый:  малые наименьших малейшего
связь:  связь
ответить:  ответим
экзотический:  экзотического
нормальный:  нормальное нормального нормальных
интегральнаятеорема:  интегральнаятеоремы
некоторый:  некоторой некоторыми
корнимногочлен:  корнимногочлена
логарифмический:  логарифмическая
место:  места
подчёркивать:  подчёркиваю
основной:  основные
соответствовать:  соответствующей соответствующем соответствует соответствующий
бернулли:  бернулли
полярный:  полярные полярных полярный полярной полярным
рассмотреть:  рассмотрим рассмотренное
спроецировать:  спроецируем
ряд:  ряды ряда ряд рядов
уровень:  уровня уровне
пользоваться:  пользоваться пользовались
вычисляться:  вычисляется
доверительный:  доверительные
смысл:  смысле смысл смыслом
нечего:  нечему
среднееквадратический:  среднееквадратическое
посвятить:  посвящён посвящённый
говориться:  говорится
решение:  решениями решение решением решения решений
комбинационный:  комбинационная
смешанноепроизведение:  смешанноепроизведение
функция:  функции функция функций функцию
целый:  целая целый
дисперсия:  дисперсия дисперсии дисперсию
проверка:  проверки проверка
постараться:  постарайтесь
школьный:  школьный
мы:  нам нами
треугольник:  треугольника треугольник треугольнику
образ:  образом
непрерывнаяслучайный:  непрерывнаяслучайная
ибо:  ибо
длина:  длина длины
работа:  работе работа работу
мочь:  могут можем
знакопостоянство:  знакопостоянства
занимательный:  занимательного
площадь:  площади
фигура:  фигуру фигуры
градиент:  градиент
лопата:  лопату
линия:  линия линии линию линиями
материальный:  материальной
ясно:  ясно
