частный:  частным частное частные частный
отражать:  отражает
производный:  производные производная производной производную
предел:  предел пределы пределов пределах
числовой:  числовые
экселе:  экселе
производныенеявно:  производныенеявно
длинный:  длиннее
значение:  значение значением значению значений значения
скорее:  скорее
универсальный:  универсальна универсальные
обозначать:  обозначают
знакомиться:  знакомились
находить:  находить находим
литература:  литературу
игрек:  игрек
взять:  взятые
путко:  путко
формула:  формулы формулам формула
смотреть:  см
канонический:  каноническому
положительный:  положительными
два:  две двум двумя
дифференциал:  дифференциалах дифференциала
больший:  наибольшее
против:  против
рассмотреть:  рассмотрен рассмотрим рассмотреть рассмотрели рассмотренной
случайный:  случайная случайных случайна случайные
гипотеза:  гипотезу гипотез гипотеза гипотезы
сам:  самого самом сами
вогнутостья:  вогнутостьи
посему:  посему
искажать:  искажают
подобрать:  подобрав подобрать подобрана
варьироваться:  варьируются варьируется
математический:  математическую математическая математические математический математической
снабдить:  снабдить
случай:  случай случае
период:  период
профессия:  профессию
влияние:  влияния влияние
пусть:  пусть
удобно:  удобно
умножение:  умножения
система:  система системе систему системы
группировка:  группировок группировка
условнаясходимость:  условнаясходимость
слово:  словами слову
ошибка:  ошибка ошибку
свобода:  свободы
александр:  александр
ось:  ось оси
остаться:  осталось оставшаяся
регрессия:  регрессию регрессии регрессия регрессией
предупредить:  предупредить
который:  которые которыми котором который которая которое которую которым
линейный:  линейным линейные линейная линейный линейном линейных линейного линейной
традиция:  традиции
аномальный:  аномальные
строить:  строили строят
равенство:  равенство равенства
быть:  суть будем
критический:  критическую критическое
согласие:  согласия
вычисление:  вычислениям вычисления вычисление вычислений
студент:  студента студент студентов студентам
дуоперационный:  дуоперационным
успех:  успехом успехов
остаточный:  остаточной остаточная остаточную
базис:  базисах базису базис
дисперсия:  дисперсией дисперсия дисперсии дисперсию
наиболее:  наиболее
кремера:  кремер
зависимостьвектор:  зависимостьвекторов
распространить:  распространённый распространённой
предложный:  предложен
соответствовать:  соответствующее соответствующей соответствует соответствующий
рассматриваться:  рассматривается
сначала:  сначала
некоторый:  некоторый некоторой некоторых некоторые
метод:  методы методом метод
страница:  страницу страницы
числитель:  числителе
индекс:  индексом индекса индексов индекс
данные:  данных
интеграл:  интеграл интегралов интегралы интеграла интеграле
указать:  указаны
разложение:  разложением разложение
разница:  разницу
эмпирический:  эмпирического эмпирическим эмпирическая эмпирические
икс:  икс
сумма:  суммой сумме сумму сумма сумм
уравнение:  уравнению уравнения уравнение уравнением уравнений
переход:  переход
причина:  причины причине причин причинами
балл:  балла баллов
повышенный:  повышенная повышенной
целесообразно:  целесообразно
малый:  малые малой наименьших наименьшей
связь:  связь связи
понятие:  понятием
нулевой:  нулевую
отличный:  отличен
расчётный:  расчётную расчётного
наглядность:  наглядности
нормальный:  нормальное
интегральнаятеорема:  интегральнаятеоремы
корнимногочлен:  корнимногочлена
логарифмический:  логарифмическая
основной:  основные
бернулли:  бернулли
нужный:  нужен нужной
единица:  единицу единицы
полярный:  полярные полярных полярной
средний:  средней средняя среднюю средний среднее
ряд:  ряды ряда ряд рядов
отклонение:  отклонений отклонения отклонение
уровень:  уровня уровне
выброс:  выбросам выбросы
доверительный:  доверительные
стараться:  стараются
форма:  форме формы
среднееквадратический:  среднееквадратическое
рассчитать:  рассчитана рассчитали
рассмотрение:  рассмотрения
комбинационный:  комбинационная
смешанноепроизведение:  смешанноепроизведение
функция:  функции функция функций
проверка:  проверки проверке проверку проверка
удовлетворительный:  удовлетворительным
школьный:  школьный
мы:  нам нами
образ:  образом
непрерывнаяслучайный:  непрерывнаяслучайная
другой:  других другими другие
ибо:  ибо
прямо:  прямо
длина:  длина
материал:  материал материалов материалы
мочь:  могут могла
знакопостоянство:  знакопостоянства
проводить:  проводить
градиент:  градиент
удачно:  удачно
линия:  линия линией линии линию линиями
значимость:  значимость значимости
комбинаторика:  комбинаторике
случайнаявеличина:  случайнаявеличина
бесконечно:  бесконечно
задача:  задачу задаче задачи задачах задача
увеличивать:  увеличивают
фраза:  фразу
петров:  петров
игрековый:  игрековая
обратный:  обратную обратная обратной
судить:  судите
готовый:  готовых готово
просто:  просто
видеть:  видим
получить:  получены полученные получено полученной получить полученному получили получи
ещё:  ещё
знак:  знаками знак
вернуться:  вернёмся
выборка:  выборка выборке выборки
влиять:  влияет влияющий
породить:  порождена
отличаться:  отличается отличаются
зелёный:  зелёный зелёных зелёные
посмотреть:  посмотрите
обращать:  обращаю
нахождение:  нахождения
читатель:  читателей
непрерывный:  непрерывных непрерывная
производныефункция:  производныефункции
нелинейный:  нелинейную нелинейном нелинейная нелинейной нелинейных
область:  области область
повлиять:  повлиявшими
внутригрупповой:  внутригрупповой
предположим:  предположим
число:  числами числа
математик:  математика
переменный:  переменных переменной
пример:  пример примера примере примеры
несовместный:  несовместные
независимыеслучайный:  независимыеслучайные
модуль:  модулю модуля
никакой:  никакого
следовательно:  следовательно
модель:  модель модели моделей моделью
разъяснить:  разъясню
непрерывность:  непрерывность
фактор:  фактором факторов фактор фактора факторы
функциис:  функциис
тенденция:  тенденцию
полный:  полной полных полное
зеркало:  зеркало
значит:  значит
пирсон:  пирсона
ходовой:  ходовой
вычислить:  вычисленный вычислить вычисленных
вопрос:  вопрос вопроса вопросы
межгрупповой:  межгрупповая межгрупповой
ортогональный:  ортогональное
конспективный:  конспективно
нсв:  нсв
стиль:  стиле
отвергать:  отвергать отвергаем
однофакторный:  однофакторная однофакторной
упасть:  упал
ход:  ходе
изменение:  изменении изменением
рассчитываться:  рассчитываются
отрезка:  отрезке
красный:  красный красная красные красных
величина:  величина величин величины
