лотерея:  лотерею лотереи лотерее
мишень:  мишени мишень
неоднократно:  неоднократно
станок:  станке
приз:  приз
производный:  производные производная производной производную
монета:  монеты монета
предел:  предел пределы пределов пределах
небольшой:  небольшой небольшим
богатый:  богатая
посещать:  посещающий
числовой:  числовые
производныенеявно:  производныенеявно
значение:  значение значению значений значениях значения
скорее:  скорее
грань:  граней
общий:  общему общим общая общем общее
рулетка:  рулетка рулетке
объём:  объемах объем
тервера:  тервера
формула:  формулы формуле формула формулу
смотреть:  см
читатель:  читатель
прийтись:  придётся
канонический:  каноническому
относительный:  относительная относительную относительной
дифференциал:  дифференциалах дифференциала
самый:  самых самый
больший:  наибольшее большего большим большей
известно:  известно
нередко:  нередко
удваиваться:  удваиваемся
различный:  различные различных
проводиться:  проводится проводятся
мальчик:  мальчика мальчиков
львиный:  львиная
мужчина:  мужчин мужчину
число:  число числами числу числа
вогнутостья:  вогнутостьи
большой:  большом побольше большой
становиться:  становится
формулировка:  формулировки
математический:  математическую математическая математические математической
фантазия:  фантазия
мухомор:  мухоморов
профессия:  профессию
находиться:  находиться находятся
перечислить:  перечислить
пусть:  пусть
удобно:  удобно
умножение:  умножения
выполнимый:  выполним
система:  система системе систему системы
группировка:  группировок группировка
условнаясходимость:  условнаясходимость
слово:  словами
заключительный:  заключительная заключительный
александр:  александр
произвести:  произвёл произведены произвести
уровень:  уровень уровня
который:  которые котором который которая которых которой
линейный:  линейные линейная линейных линейной
безопасность:  безопасность
интегральный:  интегральной интегральная интегральную
красный:  красное красными
быть:  суть
улица:  улице
увеличиваться:  увеличиваться
согласие:  согласия
опыт:  опыт опыта опытов
выпадение:  выпадения
дуоперационный:  дуоперационным
предсказать:  предсказать
базис:  базисах базису базис
рассмотреть:  рассмотренная рассмотреть рассмотренной
несколько:  нескольких
шаблонный:  шаблонные
зависимостьвектор:  зависимостьвекторов
снова:  снова
оно:  оно
препятствие:  препятствием
рассматриваться:  рассматривается
некоторый:  некоторый некоторых некотором некоторое
метод:  методы методом метод
тема:  теме
удачный:  удачным удачный
страница:  страницу страницы
начинаться:  начиналось
данные:  данных
интеграл:  интеграл интегралов интегралы интеграла интеграле
урок:  урока уроков урок уроке
сектор:  секторами секторе
разложение:  разложением разложение
попадать:  попадает
совершать:  совершая
несмещённый:  несмещённым
уравнение:  уравнению уравнения уравнение уравнений
переход:  переход
чёрный:  чёрное чёрными
плавно:  плавно
целесообразно:  целесообразно
малый:  малые малой наименьших меньшей
связь:  связь
тяжесть:  тяжести
нормальный:  нормальное
трюк:  трюки
интегральнаятеорема:  интегральнаятеоремы
корнимногочлен:  корнимногочлена
логарифмический:  логарифмическая
условие:  условие условиях условию
начать:  начнём начать начал
комфорт:  комфорт
основной:  основные
заметный:  заметнее
соответствовать:  соответствующей соответствующий
бернулли:  бернулли
нужный:  нужен нужной
полярный:  полярные полярных полярной
корректный:  корректного
ряд:  ряды ряда ряд рядов
получить:  получит полученного полученной получить полученная получена полученных получи
заметить:  заметил заметили
определённый:  определённого определённом определенный определенного
наперёд:  наперёд
появление:  появления появлений
значительно:  значительно
доверительный:  доверительные
форма:  форме формы
среднееквадратический:  среднееквадратическое
работать:  работать
оценка:  оценку оценке оценкой оценка оценки
сбор:  сбора
посвятить:  посвящён
комбинационный:  комбинационная
следовать:  следуют следует
оба:  обе
смешанноепроизведение:  смешанноепроизведение
функция:  функции функция функций
спортсмен:  спортсмен
дисперсия:  дисперсия дисперсии дисперсию
рассчитываться:  рассчитывается рассчитываются
миллион:  миллионы миллиона
школьный:  школьный
деятельность:  деятельность
образ:  образом
частота:  частоты частоту частотой частота
непрерывнаяслучайный:  непрерывнаяслучайная
ибо:  ибо
колода:  колоды колоду колода
ожидать:  ожидать
длина:  длина
мочь:  могут могли
знакопостоянство:  знакопостоянства
интервал:  интервале интервалы
градиент:  градиент
равный:  равных равное равна
линия:  линия линии линиями
вспомнить:  вспомним
комбинаторика:  комбинаторике
случайнаявеличина:  случайнаявеличина
свой:  своего своей
бесконечно:  бесконечно
задача:  задачу задаче задачи задач задачах задача
фраза:  фразу фразы
роща:  роще
обратный:  обратную обратная
повторять:  повторяют повторяем
попасть:  попадёт попал
смертность:  смертности
готовый:  готовых
просто:  просто
ещё:  ещё
вернуться:  вернёмся вернулся
сформулировать:  сформулировано сформулированы
группа:  группу групп группа
частый:  чаще
наступление:  наступления
данный:  данного данном данное данный
непрерывный:  непрерывных непрерывная
неизменный:  неизменных неизменную
производныефункция:  производныефункции
средний:  средняя среднее
единица:  единице
вырисовываться:  вырисовывается
возвести:  возведём
область:  области область
абсолютный:  абсолютном абсолютная абсолютных
предположим:  предположим
математик:  математика
переменный:  переменных переменной
пример:  пример примеров примере примерах примеры
посмотреть:  посмотрим
несовместный:  несовместные
