придать:  придать
чертёж:  чертежом чертежа чертёж чертеже
вид:  видов виду виды вид виде вида
ось:  осью ось оси осей
неполнота:  неполноты
новый:  новых новой новому нового
часовой:  часовой
фокус:  фокусы фокуса фокусов фокусами
поменять:  поменяют
производный:  производные производная производной производную
слагаемое:  слагаемое слагаемые слагаемом слагаемого слагаемых
предел:  предел пределы пределов пределах
небольшой:  небольшой
учитывать:  учитывайте
двухмерный:  двухмерного
ездить:  ездит
числовой:  числовые
производныенеявно:  производныенеявно
значение:  значение значением значению значения
удваиваться:  удваиваются
халява:  халявы
общий:  общему общим общая общий общем общего общее
игрек:  игрек игреки
упор:  упора
формула:  формулы формуле формула формул
определять:  определять определяет определяющее
параллельный:  параллельные параллельного параллельный параллельных
время:  времён время
канонический:  каноническому канонического каноническом каноническое канонический каноническим
два:  две двумя двух
дифференциал:  дифференциалах дифференциала
больший:  наибольшее
стрелка:  стрелки
многие:  многие
известно:  известно
против:  против
означать:  означает
прямоугольный:  прямоугольной
отождествлять:  отождествлять
сам:  самого самом саму само самой
число:  число числами чисел числа
вогнутостья:  вогнутостьи
многий:  многих
становиться:  становится становиться
выяснить:  выяснить выясним
позволять:  позволяет
достойный:  достойный
случай:  случай случаев случае
профессия:  профессию
радиус:  радиусом радиуса
превращаться:  превращаясь
умножение:  умножения
выполнимый:  выполним
система:  система системой системе систему системы
группировка:  группировок группировка
условнаясходимость:  условнаясходимость
окружность:  окружность окружности
слово:  словами словом слово
ошибка:  ошибка ошибку ошибок
угол:  угол
александр:  александр
зря:  зря
который:  которые который которая которое которого которым которых которой
линейный:  линейные линейная линейных линейной
вниз:  вниз
метод:  метода методы методом метод
приплюсовать:  приплюсовать
упрощаться:  упрощается
согласие:  согласия
недра:  недр
гриф:  гриф
дуоперационный:  дуоперационным
основать:  основан
базис:  базисах базису базис
наиболее:  наиболее
зависимостьвектор:  зависимостьвекторов
оно:  оно
сначала:  сначала
рассматриваться:  рассматривается
страница:  страницу
смотреть:  смотрим
математический:  математическая математические математический математической
данные:  данных
прямой:  прямых прямая прямой прямые прямую
интеграл:  интеграл интегралов интегралы интеграла интеграле
комплекс:  комплекса
урок:  урока уроках
разложение:  разложением разложение
ставка:  ставки
готовенький:  готовенькие
икс:  икс иксы
уравнение:  уравнению уравнения уравнение уравнением уравнений
мочь:  можете могут
переход:  переход
симметрия:  симметрии симметрия
советовать:  советую
желательно:  желательно
практический:  практических
серьёзный:  серьёзная
малый:  малые малой наименьших малая меньшей
связь:  связь
точка:  точку точки точкой точках точка точками точек точке
восемь:  восьми
полуокружность:  полуокружности
нормальный:  нормальное
интегральнаятеорема:  интегральнаятеоремы
некоторый:  некоторой некоторых
корнимногочлен:  корнимногочлена
логарифмический:  логарифмическая
начать:  начнём начнут начать начнёт начал
гипербола:  гиперболы гипербола гипербол
основной:  основные
яндекс:  яндекса
нужный:  нужные нужной
соответствовать:  соответствующей
бернулли:  бернулли
полярный:  полярные полярных полярной
рассмотреть:  рассмотрим рассмотрели
ряд:  ряды ряда ряд рядов
уровень:  уровня
значительно:  значительно
художественный:  художественным
определение:  определении определению определение определения
доверительный:  доверительные
неотрицательный:  неотрицательных неотрицательные
смысл:  смысле смысл
буква:  буквой
