техника:  технику
справка:  справка
неоднократно:  неоднократно
вздыхать:  вздыхает
производный:  производные производная производной производную
предел:  предел пределы пределов пределом предела пределу пределах
небольшой:  небольшой небольшая
наполнять:  наполнять
остаться:  оставшимися осталось
чёткий:  чёткий
числовой:  числовые числовой
производныенеявно:  производныенеявно
значение:  значение значению значений значения
непрерывный:  непрерывной непрерывных непрерывная непрерывны непрерывную непрерывна
бояться:  боятся
контрольный:  контрольных
чертить:  чертим
разрыв:  разрыв разрывов разрыва разрывы разрывом
формула:  формулы формула
смотреть:  см
лаконичный:  лаконичнее
игрек:  игрека игреков игреки
остроумно:  остроумно
прийтись:  придётся
канонический:  каноническому
два:  две двух
свой:  своём своё своей свои
дифференциал:  дифференциалах дифференциала
больший:  наибольшее большие
многие:  многие
один:  одну одно одна одной
любой:  любому любая
зелёный:  зеленый зелёной зелёная зелёным
проводиться:  проводится проводятся
оформление:  оформлением оформления
сам:  самого самом саму сама самому самой
стрелка:  стрелка стрелке
число:  число числами числу чисел числа
вогнутостья:  вогнутостьи
особенность:  особенность особенности
случай:  случай случаи случая случаев случае
профессия:  профессию
условие:  условии условие условиях условий условия условию
умножение:  умножения
система:  система системе систему системы
выполнимый:  выполним
группировка:  группировок группировка
богатый:  богата
условнаясходимость:  условнаясходимость
элементарный:  элементарном элементарных элементарная
александр:  александр
ось:  ось оси
ничуть:  ничуть
баранов:  баранов
сказать:  скажете сказать
существование:  существование
который:  которые которому который которая которое которых которой
линейный:  линейные линейная линейных линейной
вниз:  вниз
работа:  работ работы работа
равенство:  равенство
пожарный:  пожарный
согласие:  согласия
криминал:  криминала
дуоперационный:  дуоперационным
базис:  базисах базису базис
оговорка:  оговорка
наиболее:  наиболее
кусочный:  кусочная кусочную кусочном кусочной кусочным
идти:  идти идет
зависимостьвектор:  зависимостьвекторов
экспонент:  экспонента
справиться:  справиться
снова:  снова
сначала:  сначала
метод:  методы методом метод
правосторонний:  правосторонний
страница:  страницу
числитель:  числителе
математический:  математическая математического математические математическим математической
данные:  данных
интеграл:  интеграл интегралов интегралы интеграла интеграле
урок:  урока урок уроке
разложение:  разложением разложение
доводиться:  доводится
подвергнуться:  подвергнется
конечный:  конечен конечное конечны конечные конечному
типовой:  типовой
попадать:  попадает
синус:  синус
икс:  икс икса
кусок:  кусок кусками кусков куска
уравнение:  уравнению уравнения уравнение уравнением уравнений
переход:  переход
нетерпение:  нетерпением
совпадать:  совпадают
продемонстрировать:  продемонстрировать
желательно:  желательно
очередь:  очередь
первый:  первое первой первом первого первый первые
цвет:  цветом цвет
практический:  практических практическую
целесообразно:  целесообразно
вертикальный:  вертикальными вертикальной
малый:  малые малых малое наименьших
связь:  связь
молодожён:  молодожёнов
подкрасться:  подкрался
точка:  точку точки точкой точках точка точками точек точке
грустный:  грустный
текст:  тексту
выглядеть:  выглядят выглядит
множество:  множестве множества
односторонний:  односторонних односторонний односторонние одностороннего
сомнение:  сомнения
простой:  простая простых простой простым
нормальный:  нормальное
кончаться:  кончается
интегральнаятеорема:  интегральнаятеоремы
корнимногочлен:  корнимногочлена
логарифмический:  логарифмическая
начать:  начнём начать
гипербола:  гиперболы гипербола
основной:  основные
бернулли:  бернулли
модуль:  модулями модуля модулем модуль
единица:  единицу единице единица единицы единиц
полярный:  полярные полярных полярной
положительный:  положительное
рассмотреть:  рассмотрим
ряд:  ряды ряда ряд ряде рядов
уровень:  уровня уровнем
факультативный:  факультативное
вычисляться:  вычисляется
доверительный:  доверительные
формулировать:  формулировать
среднееквадратический:  среднееквадратическое
момент:  моменте моменту
тип:  типа
тривиальный:  тривиальный
комбинационный:  комбинационная
обращаться:  обращается
суметь:  сумеет
выколоть:  выколите выколота
смешанноепроизведение:  смешанноепроизведение
функция:  функции функция функций функцию функциях
дисперсия:  дисперсия дисперсии дисперсию
постараться:  постарайтесь
школьный:  школьный
мы:  нам
образ:  образом
непрерывнаяслучайный:  непрерывнаяслучайная
четыре:  четыре
ибо:  ибо
прямо:  прямо
длина:  длина
материал:  материал материала материалов материалы
посмотреть:  посмотреть посмотрим
немного:  немного
мочь:  могут можем
знакопостоянство:  знакопостоянства
доопределить:  доопределить
интервал:  интервале интервала интервалах интервалы интервал
градиент:  градиент
догадаться:  догадались
линия:  линия линии линиями
вспомнить:  вспомним
