обязать:  обязана
ось:  осью оси осями осей
часовой:  часовой
шажок:  шажке шажку шажок
производный:  производные производная производной производную
слагаемое:  слагаемое
предел:  предел пределы пределов
виноватый:  виноваты
числовой:  числовые
возиться:  возиться
точнее:  точнее
производныенеявно:  производныенеявно
значение:  значение значения
небольшой:  небольшого небольшое невелико
скорый:  наискорейшего скорых
формула:  формулы формулой формуле формула формулу
смотреть:  см смотрит
особенно:  особенно
отрицательный:  отрицательный
канонический:  каноническому
положительный:  положительными положительной положительным
два:  две двух
дифференциал:  дифференциалах дифференциала
самый:  самых самый самое
больший:  наибольшее большего больший наибольшую
ответственный:  ответственный
стрелка:  стрелки
многие:  многие
один:  одну одно одной
против:  против
любой:  любому любой любую
близкий:  близкой ближайший
число:  число числами числа
вогнутостья:  вогнутостьи
солнышко:  солнышко
становиться:  становится
позволять:  позволяет
стать:  стали стало станет
подниматься:  подниматься
случай:  случай случае
образовать:  образующий образует
убедиться:  убедиться
плохой:  хуже
профессия:  профессию
условие:  условии условиями условие
пусть:  пусть
умножение:  умножения
система:  система системе систему системы
группировка:  группировок группировка
условнаясходимость:  условнаясходимость
направлять:  направляющего направляющие направляющий направляющими
шаг:  шаги шагом шаг
слово:  словами слову
ошибка:  ошибка ошибку ошибок
угол:  угол угла углы углом
александр:  александр
воочию:  воочию
остаться:  осталось оставшиеся
который:  которые который которая которое которую которого которым которых которой
линейный:  линейные линейная линейных линейной
вниз:  вниз
четверть:  четверти четверть
правый:  правой
упрощаться:  упрощается
равенство:  равенство равенстве равенства
быть:  суть будут будем
согласие:  согласия
помогать:  помогал
пункт:  пунктах пункт
рассматривать:  рассматриваемый рассматривать
дуоперационный:  дуоперационным
компактный:  компактная
основать:  основан
сформулировать:  сформулировать
базис:  базисах базису базис
оговорка:  оговорка
несколько:  нескольких несколько несколькими
наиболее:  наиболее
зависимостьвектор:  зависимостьвекторов
снова:  снова
день:  день
сначала:  сначала
метод:  методы методом метод
спустя:  спустя
тема:  теме тему
геометрически:  геометрически
страница:  страницу
математический:  математическая математические математический математической
данные:  данных данным
определять:  определяющие определяющий
кажущийся:  кажущееся
искать:  искать
высекать:  высекает
интеграл:  интеграл интегралов интегралы интеграла интеграле
характеристика:  характеристика
урок:  урока уроке
разложение:  разложением разложение
косинус:  косинусы косинусами
склон:  склон склона склону
исходящий:  исходящий исходящего
ставить:  ставит
величина:  величину величина величин величины
икс:  икс
вывести:  выведем
пожаловать:  пожаловать
уравнение:  уравнению уравнения уравнение уравнений
биссектриса:  биссектрису биссектрисе биссектрисы
переход:  переход
поздравлять:  поздравляю
указывать:  указывать указывает указываем
плавно:  плавно
разбор:  разбор
отыскиваться:  отыскиваются
существо:  существу
очередь:  очередь очереди
забываться:  забывается
доступный:  доступен
перпендикулярно:  перпендикулярно
малый:  малые малому малом наименьших малый
связь:  связь связи
понятие:  понятием понятии понятие
точка:  точку точки точках точка точек точке
градус:  градусам градусов
подчёркивать:  подчёркивая подчёркиваю
плохо:  плохо
простой:  простая проще прост простых простой
нормальный:  нормальное
интегральнаятеорема:  интегральнаятеоремы
некоторый:  некоторой некоторую некоторому некоторых некоторое некоторые
корнимногочлен:  корнимногочлена
логарифмический:  логарифмическая
решить:  решил решить
оформлять:  оформляем
начать:  начнём начать
основной:  основные
нужный:  нужные нужен нужной
функция:  функцией функции функция функций функцию
применяться:  применяется
бернулли:  бернулли
полярный:  полярные полярных полярной
корректный:  корректного
рассмотреть:  рассмотрим рассмотрена
ряд:  ряды ряда ряд рядов
эффективность:  эффективностью
проявить:  проявить
уровень:  уровня
волнистый:  волнистые
ущелие:  ущелий
значительно:  значительно
доверительный:  доверительные
смысл:  смысле смысл смысла
буква:  буквой буква букву
среднееквадратический:  среднееквадратическое
коротко:  коротко
комбинационный:  комбинационная
декартов:  декартовой
листок:  листок
смешанноепроизведение:  смешанноепроизведение
пробел:  пробелы
дисперсия:  дисперсия дисперсии дисперсию
проверка:  проверки проверке проверка
миллион:  миллионы
школьный:  школьный школьные
высота:  высота высотой высоте высоты
мы:  нам нами
принадлежащий:  принадлежащую
