изучение:  изучением изучения
производный:  производные производная производной производную
предел:  предел пределы пределов
округлять:  округляем
половина:  половина половиной
числовой:  числовые числовая
экселе:  экселе
точнее:  точнее
производныенеявно:  производныенеявно
значение:  значение значением значений значения
пиджак:  пиджаков пиджак пиджаке пиджаки
затрата:  затрат
формула:  формулы формулой формуле формула формулу
смотреть:  см
отбрасывать:  отбрасывать
сюда:  сюда
канонический:  каноническому
два:  две двух
бухгалтер:  бухгалтер
дифференциал:  дифференциалах дифференциала
содержаться:  содержатся
больший:  наибольшее большее большую большей
составить:  составлен составить
гистограмма:  гистограмму гистограмме
против:  против
проводиться:  проводится
стрелка:  стрелка
иксовой:  иксовое
число:  число числами чисел числа
вогнутостья:  вогнутостьи
посему:  посему
отыскание:  отыскания
многий:  многих
становиться:  становится
позволять:  позволяет
случай:  случай случаи случая случаев случае случаях
плохой:  хуже
профессия:  профессию
условие:  условии условия
пусть:  пусть
умножение:  умножения
развивать:  развивать
система:  система системе систему системы
группировка:  группировок группировка
условнаясходимость:  условнаясходимость
предшествовать:  предшествующего
представительный:  представительную
офлайн:  оффлайн
подготовить:  подготовленных
александр:  александр
который:  которые котором который которая которое которую которого которых которой
редко:  редко
линейный:  линейные линейная линейных линейной
аномальный:  аномальные
стать:  стало
объём:  объём объема объёма объем
быть:  суть буду
согласие:  согласия
чётный:  чётного чётное
арифметический:  арифметической арифметическое арифметическому
отметка:  отметку отметка
относительный:  относительных относительные
решать:  решаем решать
дуоперационный:  дуоперационным
пуговица:  пуговицы пуговиц
базис:  базисах базису базис
зависимостьвектор:  зависимостьвекторов
распределить:  распределена
предложный:  предложен
сначала:  сначала
метод:  методы методом метод
страница:  страницу
столбец:  столбцу столбце столбца
обычный:  обычные
математический:  математическая математические математической
данные:  данных данным
интеграл:  интеграл интегралов интегралы интеграла интеграле
характеристика:  характеристика характеристиками характеристик
урок:  урока
разложение:  разложением разложение
отбросить:  отбросим
друг:  друга друг другу
двухпуговичный:  двухпуговичные
уравнение:  уравнению уравнения уравнение уравнений
тематичный:  тематичная
шляпка:  шляпки
переход:  переход
планка:  планки
сортировка:  сортировка
симметрия:  симметрии
плавно:  плавно
первый:  первое первых первого
считать:  считают считаем считать
целесообразно:  целесообразно
малый:  малые наименьших
связь:  связь
середина:  середину середины
петров:  петрова
расчётный:  расчётную
нормальный:  нормальное
интегральнаятеорема:  интегральнаятеоремы
корнимногочлен:  корнимногочлена
логарифмический:  логарифмическая
начать:  начнём начать
основной:  основные
переслать:  перешли
модальный:  модальными модальный модального модальных модальное
бернулли:  бернулли
полярный:  полярные полярных полярной
средний:  средней средняя средних средние среднему среднюю среднее
ряд:  ряды ряда ряду ряд ряде рядов
уровень:  уровня
ячейка:  ячейку
разбиение:  разбиения разбиение
доверительный:  доверительные
экселя:  экселя
среднееквадратический:  среднееквадратическое
коротко:  коротко
справочный:  справочно
комбинационный:  комбинационная
показатель:  показатель показателям показателей показатели показателями
смешанноепроизведение:  смешанноепроизведение
обнаружиться:  обнаружатся
функция:  функции функция функций
сподручный:  сподручнее
дисперсия:  дисперсия дисперсии дисперсию
срединный:  срединный
разориться:  разорится
рассчитываться:  рассчитывается рассчитываются
знакомый:  знакомого знакомой
школьный:  школьный
сместить:  смещено смещена
мы:  нам
образ:  образом
частота:  частоты частотам частот частотой частота
непрерывнаяслучайный:  непрерывнаяслучайная
длина:  длина длины
хороший:  хорошая
материал:  материал материалом материалов материалы
усмотреть:  усмотреть
немного:  немного
мочь:  могут
знакопостоянство:  знакопостоянства
быстрый:  быстрый
интервал:  интервале интервала интервалах интервалы интервал интервалу интервалами интервалов
попробовать:  попробуйте
градиент:  градиент
равный:  равных равные равное равна
конец:  конец конце конца
линия:  линия линии линиями
повторяться:  повторяется
полагать:  полагаем
разнообразие:  разнообразия
ясно:  ясно
комбинаторика:  комбинаторике
упорядочить:  упорядоченного упорядоченный упорядоченной
случайнаявеличина:  случайнаявеличина
интервальный:  интервальная интервальном интервального интервальный интервальному
бесконечно:  бесконечно
следующий:  следующими следующие следующее следующего следующим следующий следующей
накопить:  накопленная накопленные накопленным
форма:  формы
задача:  задачу задаче задачи задачах задача
отметить:  отметить отмечу
возвращаться:  возвращаемся
статья:  статьи статья
сформировать:  сформированного сформированному
ориентироваться:  ориентируясь
обратный:  обратную обратная
готовый:  готовых готовый готово готовому
просто:  просто
видеть:  видим видите
получить:  получены полученные полученного получено полученное полученная полученный получи
приём:  приём
ещё:  ещё
выборка:  выборка выборке выборку выборки
сверка:  сверки
свой:  своих
часть:  частей частям части
возмущение:  возмущение
вызвать:  вызовет
приблизить:  приблизили приближенные
текущий:  текущей текущий
отличаться:  отличается
частый:  чаще
калькулятор:  калькулятора калькулятор калькуляторе
вычислить:  вычислила вычисленным вычислить
читатель:  читателей читатели
сортировать:  сортировать сортируем
непрерывный:  непрерывных непрерывная
мысль:  мысли
медиана:  медианы медиане медиана медианой медиану
производныефункция:  производныефункции
ботинок:  ботинки ботинками
попасть:  попали
область:  области область
ссылка:  ссылке ссылка
математик:  математика
переменный:  переменных переменной
пример:  пример примера примере примеры
несовместный:  несовместные
независимыеслучайный:  независимыеслучайные
добавить:  добавить
обеспечение:  обеспечении
модель:  модель модели
непрерывность:  непрерывность
содержать:  содержит содержащий
способ:  способами способом способ
накопиться:  накопиться
рассчитывать:  рассчитывать
тупо:  тупо
квартиль:  квартили квартиль квартилей
функциис:  функциис
тенденция:  тенденцию
право:  правом
полный:  полной полных полное
зеркало:  зеркало
значит:  значит
пирсон:  пирсона
вопрос:  вопрос вопросы
общественность:  общественности
межгрупповой:  межгрупповая
ортогональный:  ортогональное
высокий:  высокой высших высшей высшая
удобный:  удобен удобный удобнее
нсв:  нсв
исходный:  исходным исходные
вроде:  вроде
упасть:  упал
заголовок:  заголовке
отрезка:  отрезке
величина:  величина величин величинах величины
учебный:  учебном учебная
оглавление:  оглавление
прорешать:  прорешать
найтись:  найтись нашлось
она:  неё
количество:  количеству количества количество
анализировать:  анализировать анализируя
детерминация:  детерминации
статистика:  статистикой статистика статистики
деталь:  детали
дифференциальныеуравнение:  дифференциальныеуравнения
название:  названия
прямой:  прямая прямой прямую
выборочный:  выборочную выборочной выборочного выборочная
постоянный:  постоянных
стокс:  стокса
схема:  схема
самостоятельно:  самостоятельно
дробовик:  дробовик
индекс:  индекса
тяжёлый:  тяжелых тяжёлых
математика:  математике математики
векторный:  векторное векторного
вероятностия:  вероятностии
скалярный:  скалярное
совершенно:  совершенно
объединять:  объединяем
наш:  нашем наш
понятный:  понятен
значимость:  значимости
округлить:  округлёнными
некоторый:  некоторая
мысленно:  мысленно
нижний:  нижняя
описка:  описка
вариационный:  вариационного вариационном вариационный
анализ:  анализа анализ
красный:  красная
статистический:  статистической статистическое статистических статистическая статистические
её:  её
частный:  частное частные
парный:  парной
фрейд:  фрейду
несколько:  несколько несколькими
сборник:  сборники
параметрический:  параметрическом параметрической
дециль:  децили децилей децилями
таблица:  таблице таблицу таблицы
делать:  делаем делают
часто:  часто
зарабатывать:  зарабатывает
получаться:  получается
находить:  находим
другой:  другая другими другие другим
решение:  решение решением решения решений
форум:  форум форуме
книга:  книги книга
включая:  включая
разряд:  разряда разряд разряды
заработный:  заработную
устно:  устно
задание:  задание заданий
вектор:  векторы векторов
вращение:  вращения
наличие:  наличии
именно:  именно
копирование:  копирование
вдаваться:  вдаваясь
разрыв:  разрыва
выражение:  выражения
отблагодарить:  отблагодарить
байес:  байеса
рассматривать:  рассматриваем рассматривают
точность:  точности
оценить:  оценить
результат:  результат результатам результате результаты
теория:  теория теории
опробовать:  опробовать
характеризовать:  характеризует характеризуют
определять:  определяем
двумерный:  двумерная
задать:  заданной задайте
инструкция:  инструкция инструкции
тело:  тела
циркуляция:  циркуляция
слева:  слева
отдельный:  отдельные
отклонение:  отклонения отклонение
плоскость:  плоскости плоскость
организовать:  организуют
общий:  общим общая общем общее
поздний:  позже
определителяй:  определителяи
закон:  законы
справа:  справа
самый:  самым самое
качество:  качестве
буква:  буква
типичный:  типичная
вероятность:  вероятностей вероятность вероятности вероятностью
центральный:  центральными центральные центральную центрального центральных
уравненийв:  уравненийв
программный:  программном
правильный:  правильного
диапазон:  диапазон
больница:  больнице
нечётный:  нечётное
привести:  приведена приведу привёл привести
грин:  грина
эйлер:  эйлера
цех:  цеха
надевать:  надеваем
дискретный:  дискретный дискретным дискретная дискретного
знакочередоваться:  знакочередующиеся
практический:  практический
важный:  важнейший
вводиться:  вводятся
заметно:  заметно
делить:  делённая делит делят
смущать:  смущать
практически:  практически
произвольный:  произвольных
сложный:  сложной сложные сложных
плата:  плату
рассмотрение:  рассмотрению
работать:  работает
первичный:  первичным первичные первичных
фурье:  фурье
дать:  дан дано данные данной даны
поле:  поля
зайти:  зашла
гипотеза:  гипотез гипотеза гипотезы
свойство:  свойства
попсовый:  попсовая
исследование:  исследование исследованиях исследований исследования
весь:  всем вся всей
точка:  точки точке
вариация:  вариации
основа:  основы
глаз:  глаза
броситься:  бросился
кош:  коши
выше:  выше
составлять:  составляет составлять
чайник:  чайников чайникам
вычисленияс:  вычисленияс
правый:  правую правее правому
внутренний:  внутренних
матричный:  матричные матричных матричный
заметить:  заметили заметим
однородный:  однородные однородным
очень:  очень
матрица:  матрицу матрицы матрицами
испытанияй:  испытанияи
интегралыть:  интегралыв
