ошибка:  ошибкой ошибку
неизвестный:  неизвестны
полезный:  полезен
справка:  справка
производный:  производные производная производной производную
предел:  предел пределы пределов
ввиду:  ввиду
материал:  материалах материал материалов материалами материалы
трюк:  трюком
числовой:  числовые
производныенеявно:  производныенеявно
значение:  значение значениях значения
маленький:  маленькими маленькую меньше
страшноватый:  страшноваты
игрек:  игрек
формула:  формулы формулой формуле формула формулу
необъятный:  необъятное
доступ:  доступа
смотреть:  см смотрим смотрите
приходиться:  приходилось
связать:  связаны связан
параллельный:  параллельные параллельной параллельный параллельна параллелен параллельную параллельных параллельны параллельными
прийтись:  придётся
канонический:  каноническому
два:  две двум двумя двух
дифференциал:  дифференциалах дифференциала
больший:  наибольшее большие
нередко:  нередко
многие:  многие
различный:  различные различных различными
прямоугольный:  прямоугольной
нижний:  нижнее нижними
число:  число числами числу числа
вогнутостья:  вогнутостьи
многий:  многих
начинаться:  начинаются
случай:  случай случаи случаю случаев случае
профессия:  профессию
условие:  условии условие условия условию
пусть:  пусть
удобно:  удобно
умножение:  умножения
совпадать:  совпадающих совпадают совпадает совпадающие совпадать
выполнимый:  выполним
система:  система системе систему системы
группировка:  группировок группировка
условнаясходимость:  условнаясходимость
путать:  путать
угол:  угол углу угла углов углом
александр:  александр
ось:  ось оси осями
остаться:  осталось
проходить:  проходящей проходящую проходить проходит
который:  которые котором который которая которое которого
редко:  редко
линейный:  линейные линейная линейных линейной
вниз:  вниз
коэффициент:  коэффициентов коэффициентах коэффициент коэффициенты коэффициента
перепутать:  перепутать
любой:  любые любое любой любую любым любыми любых любом
равенство:  равенство равенства
согласие:  согласия
решать:  решаем решать
дуоперационный:  дуоперационным
геометрия:  геометрией геометрии геометрия
базис:  базисах базису базисе базис базиса
наиболее:  наиболее
зависимостьвектор:  зависимостьвекторов
распространить:  распространённый распространённая
дёшево:  дёшево
оно:  оно
сначала:  сначала
метод:  методы методом метод
страница:  страницу
столбец:  столбцу столбце
математический:  математическая математического математические математической
данные:  данных
излишний:  излишни
прямой:  прямых прямая прямой прямые прямую
высекать:  высекает
интеграл:  интеграл интегралов интегралы интеграла интеграле
урок:  урока уроков урок уроку уроке
разложение:  разложением разложение
косинус:  косинусы
икс:  икс
помогать:  помогает
открываться:  открывается
уравнение:  уравнению уравнения уравнение уравнением уравнениями уравнений
переход:  переход
подойти:  подойти подойдёт
утверждение:  утверждение
желательно:  желательно
вектор:  векторах векторы вектору вектором векторов вектора векторам векторами вектор
практический:  практических
комната:  комнаты
перпендикулярно:  перпендикулярно
малый:  малые наименьших
связь:  связь связи
ответить:  ответим
наука:  наук
точка:  точку точки точка точками точкам точек точке
лямбда:  лямбда
восемь:  восьми
бесконечный:  бесконечна
интернет:  интернете
наглядность:  наглядности
нормальный:  нормальное нормальный нормальными нормального нормальных
интегральнаятеорема:  интегральнаятеоремы
некоторый:  некоторой некоторую некоторому некоторых
корнимногочлен:  корнимногочлена
логарифмический:  логарифмическая
начать:  начнём начать
придать:  придав
основной:  основные
масляный:  масляное
бернулли:  бернулли
нужный:  нужен нужны нужна нужной
полярный:  полярные полярных полярной
рассмотреть:  рассмотрим рассмотренную рассмотренной
ряд:  ряды ряда ряд ряде рядов
уровень:  уровня
аффинный:  аффинного
аналогия:  аналогию аналогий
бэтмена:  бэтмен
должный:  должны должно
рука:  руке руку руки
значительно:  значительно
пользоваться:  пользоваться
привлекательный:  привлекательнее
доверительный:  доверительные
нюанс:  нюанс
среднееквадратический:  среднееквадратическое
расположение:  расположению расположение расположения расположении
неловко:  неловко
комбинационный:  комбинационная
декартов:  декартовой
